Descrip,CaseID,Agency,Date,Location,City,State,latitude,longitude,LatLong
LARCENY-SHOPLIFTING,20140603-1658-00,Charlotte-Mecklenburg Police,6/3/2014 16:58,3200 BLOCK WILKINSON BV,Charlotte,North Carolina,35.224448,-80.892821,35.224448:-80.892821
NON-AGGRAVATED ASSAULT,20140603-1656-03,Charlotte-Mecklenburg Police,6/3/2014 16:56,2000 BLOCK E INDEPENDENCE BV,Charlotte,North Carolina,35.212739,-80.803339,35.212739:-80.803339
LARCENY-OTHER,20140603-1648-03,Charlotte-Mecklenburg Police,6/3/2014 16:48,2300 BLOCK SOUTH BV,Charlotte,North Carolina,35.205729,-80.862925,35.205729:-80.862925
NON-AGGRAVATED ASSAULT,20140603-1647-03,Charlotte-Mecklenburg Police,6/3/2014 16:47,6400 BLOCK SPRECO LN,Charlotte,North Carolina,35.267464,-80.954199,35.267464:-80.954199
NON-AGGRAVATED ASSAULT,20140603-1643-08,Charlotte-Mecklenburg Police,6/3/2014 16:43,1500 BLOCK N DAVIDSON ST,Charlotte,North Carolina,35.234065,-80.822124,35.234065:-80.822124
LARCENY-OTHER,20140603-1641-03,Charlotte-Mecklenburg Police,6/3/2014 16:41,1200 BLOCK N TRYON ST,Charlotte,North Carolina,35.236323,-80.830665,35.236323:-80.830665
VANDALISM,20140603-1636-00,Charlotte-Mecklenburg Police,6/3/2014 16:36,3000 BLOCK WALSINGHAM CT,Charlotte,North Carolina,35.154137,-80.72267,35.154137:-80.72267
NON-AGGRAVATED ASSAULT,20140603-1633-00,Charlotte-Mecklenburg Police,6/3/2014 16:33,2100 BLOCK BEN CRAIG DR,Charlotte,North Carolina,35.322143,-80.774947,35.322143:-80.774947
RESIDENTIAL BURGLARY,20140603-1633-02,Charlotte-Mecklenburg Police,6/3/2014 16:33,7100 BLOCK WOODSTOCK DR,Charlotte,North Carolina,35.133795,-80.868077,35.133795:-80.868077
LARCENY-OTHER,20140603-1630-00,Charlotte-Mecklenburg Police,6/3/2014 16:30,5600 BLOCK WILKINSON BV,Charlotte,North Carolina,35.233881,-80.932766,35.233881:-80.932766
POSSESSION OF MARIJUANA,20140603-1628-04,Charlotte-Mecklenburg Police,6/3/2014 16:28,2600 BLOCK REMINGTON ST,Charlotte,North Carolina,35.259585,-80.859286,35.259585:-80.859286
SUSPICIOUS PERSON,O0603162005,Charlotte-Mecklenburg Police,6/3/2014 16:20,SCOTLAND AV & COLVILLE RD,Charlotte,North Carolina,35.189495,-80.819982,35.189495:-80.819982
LARCENY-SHOPLIFTING,20140603-1619-01,Charlotte-Mecklenburg Police,6/3/2014 16:19,6800 BLOCK NORTHLAKE MALL DR,Charlotte,North Carolina,35.350015,-80.852338,35.350015:-80.852338
